Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
590,95117,San Jose,CA,Santa Clara County,"24,208"
495,91768,Pomona,CA,Los Angeles County,"27,741"
448,93637,Madera,CA,Madera County,"29,659"
152,91605,North Hollywood,CA,Los Angeles County,"46,752"
314,95121,San Jose,CA,Santa Clara County,"35,884"
435,93117,Goleta,CA,Santa Barbara County,"30,073"
456,93657,Sanger,CA,Fresno County,"29,289"
470,95062,Santa Cruz,CA,Santa Cruz County,"28,766"
136,91950,National City,CA,San Diego County,"47,708"
305,95678,Roseville,CA,Placer County,"36,338"
357,92037,La Jolla,CA,San Diego County,"33,301"
387,91750,La Verne,CA,Los Angeles County,"31,768"
458,92253,La Quinta,CA,Riverside County,"29,184"
236,90006,Los Angeles,CA,Los Angeles County,"39,848"
316,91362,Thousand Oaks,CA,Ventura County,"35,855"
399,93311,Bakersfield,CA,Kern County,"31,100"
131,93312,Bakersfield,CA,Kern County,"48,913"
156,92173,San Ysidro,CA,San Diego County,"46,367"
295,90043,Los Angeles,CA,Los Angeles County,"36,952"
397,94578,San Leandro,CA,Alameda County,"31,258"
432,90621,Buena Park,CA,Orange County,"30,173"
439,91107,Pasadena,CA,Los Angeles County,"29,898"
449,91214,La Crescenta,CA,Los Angeles County,"29,577"
451,94561,Oakley,CA,Contra Costa County,"29,435"
127,92780,Tustin,CA,Orange County,"48,992"
149,92870,Placentia,CA,Orange County,"46,792"
274,95648,Lincoln,CA,Placer County,"38,096"
101,92647,Huntington Beach,CA,Orange County,"51,717"
108,95122,San Jose,CA,Santa Clara County,"51,266"
132,91765,Diamond Bar,CA,Los Angeles County,"48,578"
150,90034,Los Angeles,CA,Los Angeles County,"46,783"
178,95023,Hollister,CA,San Benito County,"43,971"
192,90813,Long Beach,CA,Los Angeles County,"43,056"
301,95621,Citrus Heights,CA,Sacramento County,"36,576"
319,94025,Menlo Park,CA,San Mateo County,"35,491"
360,93313,Bakersfield,CA,Kern County,"33,196"
7,92683,Westminster,CA,Orange County,"81,643"
113,95608,Carmichael,CA,Sacramento County,"50,575"
174,92407,San Bernardino,CA,San Bernardino County,"44,594"
225,93638,Madera,CA,Madera County,"40,435"
231,92843,Garden Grove,CA,Orange County,"40,067"
262,94010,Burlingame,CA,San Mateo County,"38,812"
465,95820,Sacramento,CA,Sacramento County,"28,907"
25,94112,San Francisco,CA,San Francisco County,"69,192"
74,92231,Calexico,CA,Imperial County,"54,934"
89,94538,Fremont,CA,Alameda County,"52,856"
194,95124,San Jose,CA,Santa Clara County,"42,803"
251,92115,San Diego,CA,San Diego County,"39,241"
278,92507,Riverside,CA,Riverside County,"38,043"
281,92111,San Diego,CA,San Diego County,"37,912"
1,90650,Norwalk,CA,Los Angeles County,"96,410"
24,91910,Chula Vista,CA,San Diego County,"69,192"
52,90262,Lynwood,CA,Los Angeles County,"60,297"
62,93307,Bakersfield,CA,Kern County,"57,592"
110,94501,Alameda,CA,Alameda County,"50,950"
116,94806,San Pablo,CA,Contra Costa County,"50,231"
128,92346,Highland,CA,San Bernardino County,"48,978"
167,90037,Los Angeles,CA,Los Angeles County,"45,161"
181,92392,Victorville,CA,San Bernardino County,"43,799"
182,92117,San Diego,CA,San Diego County,"43,766"
213,95116,San Jose,CA,Santa Clara County,"41,355"
243,91405,Van Nuys,CA,Los Angeles County,"39,405"
272,94066,San Bruno,CA,San Mateo County,"38,112"
402,91754,Monterey Park,CA,Los Angeles County,"31,078"
414,94061,Redwood City,CA,San Mateo County,"30,641"
48,92677,Laguna Niguel,CA,Orange County,"60,596"
81,91730,Rancho Cucamonga,CA,San Bernardino County,"53,760"
107,91977,Spring Valley,CA,San Diego County,"51,309"
137,92563,Murrieta,CA,Riverside County,"47,530"
146,90630,Cypress,CA,Orange County,"46,923"
147,95376,Tracy,CA,San Joaquin County,"46,874"
154,93551,Palmdale,CA,Los Angeles County,"46,609"
185,95125,San Jose,CA,Santa Clara County,"43,445"
186,93611,Clovis,CA,Fresno County,"43,340"
211,93277,Visalia,CA,Tulare County,"41,450"
214,91767,Pomona,CA,Los Angeles County,"41,298"
229,91360,Thousand Oaks,CA,Ventura County,"40,154"
241,94086,Sunnyvale,CA,Santa Clara County,"39,606"
263,92571,Perris,CA,Riverside County,"38,765"
338,94611,Oakland,CA,Alameda County,"34,630"
4,90201,Bell Gardens,CA,Los Angeles County,"85,916"
58,93905,Salinas,CA,Monterey County,"58,405"
99,91745,Hacienda Heights,CA,Los Angeles County,"51,729"
117,93727,Fresno,CA,Fresno County,"50,111"
124,90723,Paramount,CA,Los Angeles County,"49,299"
130,95355,Modesto,CA,Stanislaus County,"48,934"
141,92404,San Bernardino,CA,San Bernardino County,"47,075"
164,95670,Rancho Cordova,CA,Sacramento County,"45,575"
189,91789,Walnut,CA,Los Angeles County,"43,184"
